id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,00-04,LAKI-LAKI,212809,JIWA,2021
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,00-04,PEREMPUAN,198774,JIWA,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,05-09,LAKI-LAKI,265642,JIWA,2021
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,05-09,PEREMPUAN,248026,JIWA,2021
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,10-14,LAKI-LAKI,258327,JIWA,2021
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,10-14,PEREMPUAN,242430,JIWA,2021
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,15-19,LAKI-LAKI,203091,JIWA,2021
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,15-19,PEREMPUAN,201997,JIWA,2021
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,20-24,LAKI-LAKI,249426,JIWA,2021
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,20-24,PEREMPUAN,235057,JIWA,2021
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,25-29,LAKI-LAKI,240068,JIWA,2021
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,25-29,PEREMPUAN,225217,JIWA,2021
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,30-34,LAKI-LAKI,223723,JIWA,2021
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,30-34,PEREMPUAN,210350,JIWA,2021
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,35-39,LAKI-LAKI,225674,JIWA,2021
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,35-39,PEREMPUAN,214858,JIWA,2021
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,40-44,LAKI-LAKI,200902,JIWA,2021
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,40-44,PEREMPUAN,199122,JIWA,2021
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,45-49,LAKI-LAKI,186410,JIWA,2021
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,45-49,PEREMPUAN,185062,JIWA,2021
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,50-54,LAKI-LAKI,153912,JIWA,2021
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,50-54,PEREMPUAN,145182,JIWA,2021
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,55-59,LAKI-LAKI,114527,JIWA,2021
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,55-59,PEREMPUAN,109058,JIWA,2021
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,60-64,LAKI-LAKI,82623,JIWA,2021
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,60-64,PEREMPUAN,78497,JIWA,2021
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,65-69,LAKI-LAKI,54122,JIWA,2021
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,65-69,PEREMPUAN,48304,JIWA,2021
29,32,JAWA BARAT,3201,KABUPATEN BOGOR,70-74,LAKI-LAKI,27894,JIWA,2021
30,32,JAWA BARAT,3201,KABUPATEN BOGOR,70-74,PEREMPUAN,28365,JIWA,2021
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,> 75,LAKI-LAKI,27064,JIWA,2021
32,32,JAWA BARAT,3201,KABUPATEN BOGOR,> 75,PEREMPUAN,30618,JIWA,2021
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,00-04,LAKI-LAKI,110283,JIWA,2021
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,00-04,PEREMPUAN,102842,JIWA,2021
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,05-09,LAKI-LAKI,130656,JIWA,2021
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,05-09,PEREMPUAN,123179,JIWA,2021
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10-14,LAKI-LAKI,125661,JIWA,2021
38,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10-14,PEREMPUAN,118410,JIWA,2021
39,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15-19,LAKI-LAKI,96752,JIWA,2021
40,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15-19,PEREMPUAN,96778,JIWA,2021
41,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20-24,LAKI-LAKI,120943,JIWA,2021
42,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20-24,PEREMPUAN,114575,JIWA,2021
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25-29,LAKI-LAKI,117285,JIWA,2021
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25-29,PEREMPUAN,110175,JIWA,2021
45,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,30-34,LAKI-LAKI,102318,JIWA,2021
46,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,30-34,PEREMPUAN,100475,JIWA,2021
47,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,35-39,LAKI-LAKI,105343,JIWA,2021
48,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,35-39,PEREMPUAN,107088,JIWA,2021
49,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40-44,LAKI-LAKI,93855,JIWA,2021
50,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40-44,PEREMPUAN,96126,JIWA,2021
51,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45-49,LAKI-LAKI,90633,JIWA,2021
52,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45-49,PEREMPUAN,94564,JIWA,2021
53,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50-54,LAKI-LAKI,78815,JIWA,2021
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50-54,PEREMPUAN,78866,JIWA,2021
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55-59,LAKI-LAKI,67100,JIWA,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55-59,PEREMPUAN,65829,JIWA,2021
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60-64,LAKI-LAKI,52379,JIWA,2021
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60-64,PEREMPUAN,48430,JIWA,2021
59,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65-69,LAKI-LAKI,37502,JIWA,2021
60,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65-69,PEREMPUAN,32592,JIWA,2021
61,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70-74,LAKI-LAKI,20906,JIWA,2021
62,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70-74,PEREMPUAN,19333,JIWA,2021
63,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,> 75,LAKI-LAKI,24784,JIWA,2021
64,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,> 75,PEREMPUAN,24489,JIWA,2021
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,00-04,LAKI-LAKI,100569,JIWA,2021
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,00-04,PEREMPUAN,94314,JIWA,2021
67,32,JAWA BARAT,3203,KABUPATEN CIANJUR,05-09,LAKI-LAKI,125519,JIWA,2021
68,32,JAWA BARAT,3203,KABUPATEN CIANJUR,05-09,PEREMPUAN,118529,JIWA,2021
69,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10-14,LAKI-LAKI,117288,JIWA,2021
70,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10-14,PEREMPUAN,110317,JIWA,2021
71,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15-19,LAKI-LAKI,84320,JIWA,2021
72,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15-19,PEREMPUAN,84099,JIWA,2021
73,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20-24,LAKI-LAKI,108149,JIWA,2021
74,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20-24,PEREMPUAN,100694,JIWA,2021
75,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25-29,LAKI-LAKI,103621,JIWA,2021
76,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25-29,PEREMPUAN,95432,JIWA,2021
77,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30-34,LAKI-LAKI,93731,JIWA,2021
78,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30-34,PEREMPUAN,88129,JIWA,2021
79,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35-39,LAKI-LAKI,95785,JIWA,2021
80,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35-39,PEREMPUAN,94341,JIWA,2021
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40-44,LAKI-LAKI,84443,JIWA,2021
82,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40-44,PEREMPUAN,86437,JIWA,2021
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45-49,LAKI-LAKI,84404,JIWA,2021
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45-49,PEREMPUAN,86003,JIWA,2021
85,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50-54,LAKI-LAKI,71447,JIWA,2021
86,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50-54,PEREMPUAN,68265,JIWA,2021
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55-59,LAKI-LAKI,60670,JIWA,2021
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55-59,PEREMPUAN,56167,JIWA,2021
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,60-64,LAKI-LAKI,47746,JIWA,2021
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,60-64,PEREMPUAN,41948,JIWA,2021
91,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65-69,LAKI-LAKI,33285,JIWA,2021
